ID_Codigo;ID;Anexo;Titulo_Anexo;Item_Anexo;Descritivo;Tratamento;Perc_Reducao;Perc_Aliquota_Aplicavel;Tributo;Tipo_Classificacao;Codigo;Codigo_Normalizado;Nivel_Codigo;Base_Legal;Linha_Agrupadora;Condicionantes_Observacoes
965;782;XIV;Medicamentos submetidos a reducao a zero - ANEXO REVOGADO pela Lei Complementar n. 227, de 13/01/2026;313;SUCCINATO DE RIBOCICLIBE;Revogado;100.0;0.0;IBS e CBS;NCM/SH;3004.90.69;30049069;8 digitos (item completo);Art. 146 (redacao original);Nao;ANEXO REVOGADO. A LC 227/2026 substituiu a lista por criterio de finalidade terapeutica no art. 146: doencas raras, doencas negligenciadas, oncologia, diabetes, HIV/aids e outras IST, doencas cardiovasculares e Programa Farmacia Popular. Mantido aqui apenas para historico e transicao
966;783;XIV;Medicamentos submetidos a reducao a zero - ANEXO REVOGADO pela Lei Complementar n. 227, de 13/01/2026;314;SUCCINATO SÓDICO DE HIDROCORTISONA;Revogado;100.0;0.0;IBS e CBS;NCM/SH;3004.32.10;30043210;8 digitos (item completo);Art. 146 (redacao original);Nao;ANEXO REVOGADO. A LC 227/2026 substituiu a lista por criterio de finalidade terapeutica no art. 146: doencas raras, doencas negligenciadas, oncologia, diabetes, HIV/aids e outras IST, doencas cardiovasculares e Programa Farmacia Popular. Mantido aqui apenas para historico e transicao
967;784;XIV;Medicamentos submetidos a reducao a zero - ANEXO REVOGADO pela Lei Complementar n. 227, de 13/01/2026;315;SULFADIAZINA;Revogado;100.0;0.0;IBS e CBS;NCM/SH;3004.90.72;30049072;8 digitos (item completo);Art. 146 (redacao original);Nao;ANEXO REVOGADO. A LC 227/2026 substituiu a lista por criterio de finalidade terapeutica no art. 146: doencas raras, doencas negligenciadas, oncologia, diabetes, HIV/aids e outras IST, doencas cardiovasculares e Programa Farmacia Popular. Mantido aqui apenas para historico e transicao
968;785;XIV;Medicamentos submetidos a reducao a zero - ANEXO REVOGADO pela Lei Complementar n. 227, de 13/01/2026;316;SULFAMETOXAZOL + TRIMETROPINA;Revogado;100.0;0.0;IBS e CBS;NCM/SH;3004.90.72;30049072;8 digitos (item completo);Art. 146 (redacao original);Nao;ANEXO REVOGADO. A LC 227/2026 substituiu a lista por criterio de finalidade terapeutica no art. 146: doencas raras, doencas negligenciadas, oncologia, diabetes, HIV/aids e outras IST, doencas cardiovasculares e Programa Farmacia Popular. Mantido aqui apenas para historico e transicao
969;786;XIV;Medicamentos submetidos a reducao a zero - ANEXO REVOGADO pela Lei Complementar n. 227, de 13/01/2026;317;SULFATO DE ABACAVIR;Revogado;100.0;0.0;IBS e CBS;NCM/SH;3004.90.68;30049068;8 digitos (item completo);Art. 146 (redacao original);Nao;ANEXO REVOGADO. A LC 227/2026 substituiu a lista por criterio de finalidade terapeutica no art. 146: doencas raras, doencas negligenciadas, oncologia, diabetes, HIV/aids e outras IST, doencas cardiovasculares e Programa Farmacia Popular. Mantido aqui apenas para historico e transicao
970;787;XIV;Medicamentos submetidos a reducao a zero - ANEXO REVOGADO pela Lei Complementar n. 227, de 13/01/2026;318;SULFATO DE ATAZANAVIR;Revogado;100.0;0.0;IBS e CBS;NCM/SH;3004.90.68;30049068;8 digitos (item completo);Art. 146 (redacao original);Nao;ANEXO REVOGADO. A LC 227/2026 substituiu a lista por criterio de finalidade terapeutica no art. 146: doencas raras, doencas negligenciadas, oncologia, diabetes, HIV/aids e outras IST, doencas cardiovasculares e Programa Farmacia Popular. Mantido aqui apenas para historico e transicao
971;788;XIV;Medicamentos submetidos a reducao a zero - ANEXO REVOGADO pela Lei Complementar n. 227, de 13/01/2026;319;SULFATO DE BLEOMICINA;Revogado;100.0;0.0;IBS e CBS;NCM/SH;3004.20.93;30042093;8 digitos (item completo);Art. 146 (redacao original);Nao;ANEXO REVOGADO. A LC 227/2026 substituiu a lista por criterio de finalidade terapeutica no art. 146: doencas raras, doencas negligenciadas, oncologia, diabetes, HIV/aids e outras IST, doencas cardiovasculares e Programa Farmacia Popular. Mantido aqui apenas para historico e transicao
972;789;XIV;Medicamentos submetidos a reducao a zero - ANEXO REVOGADO pela Lei Complementar n. 227, de 13/01/2026;320;SULFATO DE INDINAVIR;Revogado;100.0;0.0;IBS e CBS;NCM/SH;3004.90.68;30049068;8 digitos (item completo);Art. 146 (redacao original);Nao;ANEXO REVOGADO. A LC 227/2026 substituiu a lista por criterio de finalidade terapeutica no art. 146: doencas raras, doencas negligenciadas, oncologia, diabetes, HIV/aids e outras IST, doencas cardiovasculares e Programa Farmacia Popular. Mantido aqui apenas para historico e transicao
973;790;XIV;Medicamentos submetidos a reducao a zero - ANEXO REVOGADO pela Lei Complementar n. 227, de 13/01/2026;321;SULFATO DE LAROTRECTINIBE;Revogado;100.0;0.0;IBS e CBS;NCM/SH;3004.90.69;30049069;8 digitos (item completo);Art. 146 (redacao original);Nao;ANEXO REVOGADO. A LC 227/2026 substituiu a lista por criterio de finalidade terapeutica no art. 146: doencas raras, doencas negligenciadas, oncologia, diabetes, HIV/aids e outras IST, doencas cardiovasculares e Programa Farmacia Popular. Mantido aqui apenas para historico e transicao
974;791;XIV;Medicamentos submetidos a reducao a zero - ANEXO REVOGADO pela Lei Complementar n. 227, de 13/01/2026;322;SULFATO DE MORFINA;Revogado;100.0;0.0;IBS e CBS;NCM/SH;3004.49.90;30044990;8 digitos (item completo);Art. 146 (redacao original);Nao;ANEXO REVOGADO. A LC 227/2026 substituiu a lista por criterio de finalidade terapeutica no art. 146: doencas raras, doencas negligenciadas, oncologia, diabetes, HIV/aids e outras IST, doencas cardiovasculares e Programa Farmacia Popular. Mantido aqui apenas para historico e transicao
